Ticker,ETF Name,Weighted Average Yield-to-Worst,As of
FEMB,First Trust Emerging Markets Local Currency Bond ETF,0.0726,11-30-2023
FTSM,First Trust Enhanced Short Maturity ETF,0.055999999999999994,12-20-2023
FSIG,First Trust Limited Duration Investment Grade Corporate ETF,0.051699999999999996,12-20-2023
LGOV,First Trust Long Duration Opportunities ETF,0.049,11-30-2023
LMBS,First Trust Low Duration Opportunities ETF,0.0553,11-30-2023
FTSL,First Trust Senior Loan Fund,0.0867,12-18-2023
HYLS,First Trust Tactical High Yield ETF,0.0788,12-18-2023
FIXD,First Trust TCW Opportunistic Fixed Income ETF,0.055999999999999994,11-30-2023
DEED,First Trust TCW Securitized Plus ETF,0.0659,11-30-2023
UCON,First Trust TCW Unconstrained Plus Bond ETF,0.0678,11-30-2023
FCAL,First Trust California Municipal High Income ETF,0.0394,11-30-2023
FMB,First Trust Managed Municipal ETF,0.041299999999999996,11-30-2023
FMHI,First Trust Municipal High Income ETF,0.051100000000000007,11-30-2023
FMNY,First Trust New York Municipal High Income ETF,0.0379,11-30-2023
FSMB,First Trust Short Duration Managed Municipal ETF,0.0379,11-30-2023
FUMB,First Trust Ultra Short Duration Municipal ETF,0.0374,11-30-2023
